version: 2
type: collection
name: Boss Door Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 12
boss_door_anim0000	Boss Door Cln_boss_door_anim0000.png
boss_door_anim0001	Boss Door Cln_boss_door_anim0001.png
boss_door_anim0002	Boss Door Cln_boss_door_anim0002.png
boss_door_anim0003	Boss Door Cln_boss_door_anim0003.png
boss_door_anim0004	Boss Door Cln_boss_door_anim0004.png
boss_door_anim0005	Boss Door Cln_boss_door_anim0005.png
boss_door_anim0006	Boss Door Cln_boss_door_anim0006.png
boss_door_anim0007	Boss Door Cln_boss_door_anim0007.png
boss_door_anim0008	Boss Door Cln_boss_door_anim0008.png
boss_door_anim0009	Boss Door Cln_boss_door_anim0009.png
boss_door_anim0010	Boss Door Cln_boss_door_anim0010.png
boss_door_anim0011	Boss Door Cln_boss_door_anim0011.png
