version: 2
type: collection
name: Flameball Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 18
Flame_Pillar_flash0000	Flameball Cln_Flame_Pillar_flash0000.png
Flame_Pillar_flash0001	Flameball Cln_Flame_Pillar_flash0001.png
Flame_Pillar_flash0002	Flameball Cln_Flame_Pillar_flash0002.png
Flame_Pillar_flash0003	Flameball Cln_Flame_Pillar_flash0003.png
Flame_Pillar_flash0004	Flameball Cln_Flame_Pillar_flash0004.png
Flame_Pillar_flash0005	Flameball Cln_Flame_Pillar_flash0005.png
grimm_fireball_explode0000	Flameball Cln_grimm_fireball_explode0000.png
grimm_fireball_explode0001	Flameball Cln_grimm_fireball_explode0001.png
grimm_fireball_explode0002	Flameball Cln_grimm_fireball_explode0002.png
grimm_fireball_explode0003	Flameball Cln_grimm_fireball_explode0003.png
grimm_fireball0000	Flameball Cln_grimm_fireball0000.png
grimm_fireball0001	Flameball Cln_grimm_fireball0001.png
grimm_fireball0002	Flameball Cln_grimm_fireball0002.png
grimm_fireball0003	Flameball Cln_grimm_fireball0003.png
grimm_fireball0004	Flameball Cln_grimm_fireball0004.png
grimm_fireball0005	Flameball Cln_grimm_fireball0005.png
grimm_fireball0006	Flameball Cln_grimm_fireball0006.png
grimm_fireball0007	Flameball Cln_grimm_fireball0007.png
