version: 2
type: collection
name: Hornet Boss Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 293
air_dash_effects0000	Hornet Boss Cln_air_dash_effects0000.png
air_dash_effects0001	Hornet Boss Cln_air_dash_effects0001.png
air_dash_effects0002	Hornet Boss Cln_air_dash_effects0002.png
air_dash_effects0003	Hornet Boss Cln_air_dash_effects0003.png
air_dash_effects0004	Hornet Boss Cln_air_dash_effects0004.png
attack_air_dash0000	Hornet Boss Cln_attack_air_dash0000.png
attack_air_dash0001	Hornet Boss Cln_attack_air_dash0001.png
attack_air_dash0002	Hornet Boss Cln_attack_air_dash0002.png
attack_air_dash0003	Hornet Boss Cln_attack_air_dash0003.png
attack_air_dash0004	Hornet Boss Cln_attack_air_dash0004.png
attack_air_dash0005	Hornet Boss Cln_attack_air_dash0005.png
attack_air_dash0006	Hornet Boss Cln_attack_air_dash0006.png
attack_air_dash0007	Hornet Boss Cln_attack_air_dash0007.png
attack_air_dash0008	Hornet Boss Cln_attack_air_dash0008.png
attack_air_dash0009	Hornet Boss Cln_attack_air_dash0009.png
attack_counter0002	Hornet Boss Cln_attack_counter0002.png
attack_counter0003	Hornet Boss Cln_attack_counter0003.png
attack_counter0004	Hornet Boss Cln_attack_counter0004.png
attack_counter0005	Hornet Boss Cln_attack_counter0005.png
attack_counter0006	Hornet Boss Cln_attack_counter0006.png
attack_counter0007	Hornet Boss Cln_attack_counter0007.png
attack_counter0008	Hornet Boss Cln_attack_counter0008.png
attack_counter0009	Hornet Boss Cln_attack_counter0009.png
attack_counter0010	Hornet Boss Cln_attack_counter0010.png
attack_counter0011	Hornet Boss Cln_attack_counter0011.png
attack_counter0012	Hornet Boss Cln_attack_counter0012.png
attack_counter0013	Hornet Boss Cln_attack_counter0013.png
attack_counter0014	Hornet Boss Cln_attack_counter0014.png
attack_ground_thread_sphere0000	Hornet Boss Cln_attack_ground_thread_sphere0000.png
attack_ground_thread_sphere0001	Hornet Boss Cln_attack_ground_thread_sphere0001.png
attack_ground_thread_sphere0002	Hornet Boss Cln_attack_ground_thread_sphere0002.png
attack_ground_thread_sphere0003	Hornet Boss Cln_attack_ground_thread_sphere0003.png
attack_ground_thread_sphere0004	Hornet Boss Cln_attack_ground_thread_sphere0004.png
attack_ground_thread_sphere0005	Hornet Boss Cln_attack_ground_thread_sphere0005.png
attack_ground_thread_sphere0006	Hornet Boss Cln_attack_ground_thread_sphere0006.png
attack_ground_thread_sphere0007	Hornet Boss Cln_attack_ground_thread_sphere0007.png
attack_ground_thread_sphere0008	Hornet Boss Cln_attack_ground_thread_sphere0008.png
attack_ground_thread_sphere0009	Hornet Boss Cln_attack_ground_thread_sphere0009.png
attack_ground_thread_sphere0010	Hornet Boss Cln_attack_ground_thread_sphere0010.png
attack_ground_thread_sphere0011	Hornet Boss Cln_attack_ground_thread_sphere0011.png
attack_ground_thread_sphere0012	Hornet Boss Cln_attack_ground_thread_sphere0012.png
attack_ground_thread_sphere0013	Hornet Boss Cln_attack_ground_thread_sphere0013.png
attack_ground_thread_sphere0014	Hornet Boss Cln_attack_ground_thread_sphere0014.png
attack_ground_thread_sphere0015	Hornet Boss Cln_attack_ground_thread_sphere0015.png
attack_ground_thread_sphere0016	Hornet Boss Cln_attack_ground_thread_sphere0016.png
attack_ground_thread_sphere0017	Hornet Boss Cln_attack_ground_thread_sphere0017.png
attack_thread0000	Hornet Boss Cln_attack_thread0000.png
attack_thread0001	Hornet Boss Cln_attack_thread0001.png
attack_thread0002	Hornet Boss Cln_attack_thread0002.png
attack_thread0003	Hornet Boss Cln_attack_thread0003.png
attack_thread0004	Hornet Boss Cln_attack_thread0004.png
attack_thread0005	Hornet Boss Cln_attack_thread0005.png
attack_thread0006	Hornet Boss Cln_attack_thread0006.png
attack_thread0007	Hornet Boss Cln_attack_thread0007.png
attack_thread0008	Hornet Boss Cln_attack_thread0008.png
attack_thread0009	Hornet Boss Cln_attack_thread0009.png
attack_thread0010	Hornet Boss Cln_attack_thread0010.png
attack_thread0011	Hornet Boss Cln_attack_thread0011.png
attack_thread0012	Hornet Boss Cln_attack_thread0012.png
attack_thread0013	Hornet Boss Cln_attack_thread0013.png
attack_thread0014	Hornet Boss Cln_attack_thread0014.png
attack_thread0015	Hornet Boss Cln_attack_thread0015.png
attack_thread0016	Hornet Boss Cln_attack_thread0016.png
attack_thread0017	Hornet Boss Cln_attack_thread0017.png
attack_thread0018	Hornet Boss Cln_attack_thread0018.png
barb_thread_throw0000	Hornet Boss Cln_barb_thread_throw0000.png
