version: 2
type: collection
name: Mage Balloon Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 25
fly_appear0000	Mage Balloon Cln_fly_appear0000.png
fly_appear0001	Mage Balloon Cln_fly_appear0001.png
fly_appear0002	Mage Balloon Cln_fly_appear0002.png
fly_appear0003	Mage Balloon Cln_fly_appear0003.png
fly_appear0004	Mage Balloon Cln_fly_appear0004.png
fly_appear0005	Mage Balloon Cln_fly_appear0005.png
fly_appear0006	Mage Balloon Cln_fly_appear0006.png
fly_appear0007	Mage Balloon Cln_fly_appear0007.png
fly_appear0008	Mage Balloon Cln_fly_appear0008.png
fly_appear0009	Mage Balloon Cln_fly_appear0009.png
fly_appear0010	Mage Balloon Cln_fly_appear0010.png
fly_charge0000	Mage Balloon Cln_fly_charge0000.png
fly_charge0001	Mage Balloon Cln_fly_charge0001.png
fly_charge0002	Mage Balloon Cln_fly_charge0002.png
fly_charge0003	Mage Balloon Cln_fly_charge0003.png
fly_death0000	Mage Balloon Cln_fly_death0000.png
fly_death0001	Mage Balloon Cln_fly_death0001.png
fly_death0002	Mage Balloon Cln_fly_death0002.png
fly_death0003	Mage Balloon Cln_fly_death0003.png
fly_idle0000	Mage Balloon Cln_fly_idle0000.png
fly_idle0001	Mage Balloon Cln_fly_idle0001.png
fly_idle0002	Mage Balloon Cln_fly_idle0002.png
fly_idle0003	Mage Balloon Cln_fly_idle0003.png
fly_turn0000	Mage Balloon Cln_fly_turn0000.png
fly_turn0001	Mage Balloon Cln_fly_turn0001.png
