version: 2
type: collection
name: Antique Dealer Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 29
inside0000	Antique Dealer Cln_inside0000.png
inside0001	Antique Dealer Cln_inside0001.png
inside0002	Antique Dealer Cln_inside0002.png
inside0003	Antique Dealer Cln_inside0003.png
inside0004	Antique Dealer Cln_inside0004.png
inside0005	Antique Dealer Cln_inside0005.png
inside0006	Antique Dealer Cln_inside0006.png
outside0000	Antique Dealer Cln_outside0000.png
outside0001	Antique Dealer Cln_outside0001.png
outside0002	Antique Dealer Cln_outside0002.png
outside0003	Antique Dealer Cln_outside0003.png
outside0004	Antique Dealer Cln_outside0004.png
outside0005	Antique Dealer Cln_outside0005.png
outside0006	Antique Dealer Cln_outside0006.png
outside0007	Antique Dealer Cln_outside0007.png
outside0008	Antique Dealer Cln_outside0008.png
outside0009	Antique Dealer Cln_outside0009.png
outside0010	Antique Dealer Cln_outside0010.png
outside0011	Antique Dealer Cln_outside0011.png
outside0012	Antique Dealer Cln_outside0012.png
talk_left0000	Antique Dealer Cln_talk_left0000.png
talk_left0001	Antique Dealer Cln_talk_left0001.png
talk_left0002	Antique Dealer Cln_talk_left0002.png
talk_left0003	Antique Dealer Cln_talk_left0003.png
talk_left0004	Antique Dealer Cln_talk_left0004.png
talk_right0000	Antique Dealer Cln_talk_right0000.png
talk_right0001	Antique Dealer Cln_talk_right0001.png
talk_right0002	Antique Dealer Cln_talk_right0002.png
talk_right0003	Antique Dealer Cln_talk_right0003.png
