version: 2
type: collection
name: Brum Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 11
grimmkin_accordian0000	Brum Cln_grimmkin_accordian0000.png
grimmkin_accordian0001	Brum Cln_grimmkin_accordian0001.png
grimmkin_accordian0002	Brum Cln_grimmkin_accordian0002.png
grimmkin_accordian0003	Brum Cln_grimmkin_accordian0003.png
grimmkin_accordian0004	Brum Cln_grimmkin_accordian0004.png
grimmkin_accordian0005	Brum Cln_grimmkin_accordian0005.png
grimmkin_accordian0006	Brum Cln_grimmkin_accordian0006.png
grimmkin_accordian0007	Brum Cln_grimmkin_accordian0007.png
grimmkin_accordian0008	Brum Cln_grimmkin_accordian0008.png
grimmkin_accordian0009	Brum Cln_grimmkin_accordian0009.png
grimmkin_accordian0010	Brum Cln_grimmkin_accordian0010.png
