version: 2
type: collection
name: Colosseum_Enemies
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 150
	Colosseum_Enemies_unnamed_0.png
armoured_mosquito00	Colosseum_Enemies_armoured_mosquito00.png
armoured_mosquito01	Colosseum_Enemies_armoured_mosquito01.png
armoured_mosquito02	Colosseum_Enemies_armoured_mosquito02.png
armoured_mosquito03	Colosseum_Enemies_armoured_mosquito03.png
armoured_mosquito04	Colosseum_Enemies_armoured_mosquito04.png
armoured_mosquito05	Colosseum_Enemies_armoured_mosquito05.png
armoured_mosquito06	Colosseum_Enemies_armoured_mosquito06.png
armoured_mosquito07	Colosseum_Enemies_armoured_mosquito07.png
armoured_mosquito08	Colosseum_Enemies_armoured_mosquito08.png
armoured_mosquito09	Colosseum_Enemies_armoured_mosquito09.png
armoured_mosquito10	Colosseum_Enemies_armoured_mosquito10.png
armoured_mosquito11	Colosseum_Enemies_armoured_mosquito11.png
armoured_mosquito12	Colosseum_Enemies_armoured_mosquito12.png
armoured_mosquito13	Colosseum_Enemies_armoured_mosquito13.png
armoured_mosquito14	Colosseum_Enemies_armoured_mosquito14.png
armoured_mosquito15	Colosseum_Enemies_armoured_mosquito15.png
charge_antic00	Colosseum_Enemies_charge_antic00.png
charge_antic01	Colosseum_Enemies_charge_antic01.png
charge_antic02	Colosseum_Enemies_charge_antic02.png
charge_antic03	Colosseum_Enemies_charge_antic03.png
gald_antic00	Colosseum_Enemies_gald_antic00.png
gald_antic01	Colosseum_Enemies_gald_antic01.png
gald_antic02	Colosseum_Enemies_gald_antic02.png
gald_fly_claw	Colosseum_Enemies_gald_fly_claw.png
gald_fly_death00	Colosseum_Enemies_gald_fly_death00.png
gald_fly_death01	Colosseum_Enemies_gald_fly_death01.png
gald_fly_death02	Colosseum_Enemies_gald_fly_death02.png
gald_fly_death03	Colosseum_Enemies_gald_fly_death03.png
gald_fly_death04	Colosseum_Enemies_gald_fly_death04.png
gald_fly_idle00	Colosseum_Enemies_gald_fly_idle00.png
gald_fly_idle01	Colosseum_Enemies_gald_fly_idle01.png
gald_fly_idle02	Colosseum_Enemies_gald_fly_idle02.png
gald_fly_idle03	Colosseum_Enemies_gald_fly_idle03.png
gald_fly_idle04	Colosseum_Enemies_gald_fly_idle04.png
gald_fly_idle05	Colosseum_Enemies_gald_fly_idle05.png
gald_fly_pursue00	Colosseum_Enemies_gald_fly_pursue00.png
gald_fly_pursue01	Colosseum_Enemies_gald_fly_pursue01.png
gald_fly_pursue02	Colosseum_Enemies_gald_fly_pursue02.png
gald_fly_pursue03	Colosseum_Enemies_gald_fly_pursue03.png
gald_fly_pursue04	Colosseum_Enemies_gald_fly_pursue04.png
gald_fly_pursue05	Colosseum_Enemies_gald_fly_pursue05.png
gald_fly_slash00	Colosseum_Enemies_gald_fly_slash00.png
gald_fly_slash01	Colosseum_Enemies_gald_fly_slash01.png
gald_fly_slash02	Colosseum_Enemies_gald_fly_slash02.png
gald_fly_slash03	Colosseum_Enemies_gald_fly_slash03.png
gald_fly_slash04	Colosseum_Enemies_gald_fly_slash04.png
gald_fly_slash05	Colosseum_Enemies_gald_fly_slash05.png
gald_fly_slash06	Colosseum_Enemies_gald_fly_slash06.png
gald_fly_slash07	Colosseum_Enemies_gald_fly_slash07.png
gald_fly_slash08	Colosseum_Enemies_gald_fly_slash08.png
gald_fly_slash09	Colosseum_Enemies_gald_fly_slash09.png
gald_fly_slash10	Colosseum_Enemies_gald_fly_slash10.png
gald_fly_slash11	Colosseum_Enemies_gald_fly_slash11.png
gald_fly_turn00	Colosseum_Enemies_gald_fly_turn00.png
gald_fly_turn01	Colosseum_Enemies_gald_fly_turn01.png
gald_worm_charge00	Colosseum_Enemies_gald_worm_charge00.png
gald_worm_charge01	Colosseum_Enemies_gald_worm_charge01.png
gald_worm_charge02	Colosseum_Enemies_gald_worm_charge02.png
gald_worm_death00	Colosseum_Enemies_gald_worm_death00.png
gald_worm_death01	Colosseum_Enemies_gald_worm_death01.png
gald_worm_death02	Colosseum_Enemies_gald_worm_death02.png
gald_worm_death03	Colosseum_Enemies_gald_worm_death03.png
gald_worm_death04	Colosseum_Enemies_gald_worm_death04.png
gald_worm_death05	Colosseum_Enemies_gald_worm_death05.png
gald_worm_idle00	Colosseum_Enemies_gald_worm_idle00.png
gald_worm_idle01	Colosseum_Enemies_gald_worm_idle01.png
gald_worm_idle02	Colosseum_Enemies_gald_worm_idle02.png
gald_worm_idle03	Colosseum_Enemies_gald_worm_idle03.png
gald_worm_jump00	Colosseum_Enemies_gald_worm_jump00.png
gald_worm_jump01	Colosseum_Enemies_gald_worm_jump01.png
gald_worm_jump02	Colosseum_Enemies_gald_worm_jump02.png
gald_worm_slash00	Colosseum_Enemies_gald_worm_slash00.png
gald_worm_slash01	Colosseum_Enemies_gald_worm_slash01.png
gald_worm_slash02	Colosseum_Enemies_gald_worm_slash02.png
gald_worm_slash03	Colosseum_Enemies_gald_worm_slash03.png
gald_worm_slash04	Colosseum_Enemies_gald_worm_slash04.png
gald_worm_slash05	Colosseum_Enemies_gald_worm_slash05.png
gald_worm_slash06	Colosseum_Enemies_gald_worm_slash06.png
gald_worm_slash07	Colosseum_Enemies_gald_worm_slash07.png
gald_worm_slash08	Colosseum_Enemies_gald_worm_slash08.png
gald_worm_slash09	Colosseum_Enemies_gald_worm_slash09.png
gald_worm_slash10	Colosseum_Enemies_gald_worm_slash10.png
gald_worm_turn00	Colosseum_Enemies_gald_worm_turn00.png
gald_worm_turn01	Colosseum_Enemies_gald_worm_turn01.png
gald_worm_walk00	Colosseum_Enemies_gald_worm_walk00.png
gald_worm_walk01	Colosseum_Enemies_gald_worm_walk01.png
gald_worm_walk02	Colosseum_Enemies_gald_worm_walk02.png
gald_worm_walk03	Colosseum_Enemies_gald_worm_walk03.png
