version: 2
type: collection
name: Ghost Slug Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 19
attack0000	Ghost Slug Cln_attack0000.png
attack0001	Ghost Slug Cln_attack0001.png
attack0002	Ghost Slug Cln_attack0002.png
attack0003	Ghost Slug Cln_attack0003.png
attack0004	Ghost Slug Cln_attack0004.png
attack0005	Ghost Slug Cln_attack0005.png
attack0006	Ghost Slug Cln_attack0006.png
attack0007	Ghost Slug Cln_attack0007.png
attack0008	Ghost Slug Cln_attack0008.png
attack0009	Ghost Slug Cln_attack0009.png
idle0000	Ghost Slug Cln_idle0000.png
idle0001	Ghost Slug Cln_idle0001.png
idle0002	Ghost Slug Cln_idle0002.png
idle0003	Ghost Slug Cln_idle0003.png
idle0004	Ghost Slug Cln_idle0004.png
idle0005	Ghost Slug Cln_idle0005.png
Projectile	Ghost Slug Cln_Projectile.png
projectile_02	Ghost Slug Cln_projectile_02.png
turn0001	Ghost Slug Cln_turn0001.png
