version: 2
type: collection
name: Knight Hatchling Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 56
burst0000	Knight Hatchling Cln_burst0000.png
burst0001	Knight Hatchling Cln_burst0001.png
burst0002	Knight Hatchling Cln_burst0002.png
burst0003	Knight Hatchling Cln_burst0003.png
burst0004	Knight Hatchling Cln_burst0004.png
burst0005	Knight Hatchling Cln_burst0005.png
dung_hatchling_attack0000	Knight Hatchling Cln_dung_hatchling_attack0000.png
dung_hatchling_attack0001	Knight Hatchling Cln_dung_hatchling_attack0001.png
dung_hatchling_attack0002	Knight Hatchling Cln_dung_hatchling_attack0002.png
dung_hatchling_attack0003	Knight Hatchling Cln_dung_hatchling_attack0003.png
dung_hatchling_idle0000	Knight Hatchling Cln_dung_hatchling_idle0000.png
dung_hatchling_idle0001	Knight Hatchling Cln_dung_hatchling_idle0001.png
dung_hatchling_idle0002	Knight Hatchling Cln_dung_hatchling_idle0002.png
dung_hatchling_idle0003	Knight Hatchling Cln_dung_hatchling_idle0003.png
dung_hatchling_idle0004	Knight Hatchling Cln_dung_hatchling_idle0004.png
dung_hatchling_idle0005	Knight Hatchling Cln_dung_hatchling_idle0005.png
dung_hatchling_spawn0000	Knight Hatchling Cln_dung_hatchling_spawn0000.png
dung_hatchling_spawn0001	Knight Hatchling Cln_dung_hatchling_spawn0001.png
dung_hatchling_spawn0002	Knight Hatchling Cln_dung_hatchling_spawn0002.png
dung_hatchling_spawn0003	Knight Hatchling Cln_dung_hatchling_spawn0003.png
dung_hatchling_spawn0004	Knight Hatchling Cln_dung_hatchling_spawn0004.png
dung_hatchling_spawn0005	Knight Hatchling Cln_dung_hatchling_spawn0005.png
dung_hatchling_turn0000	Knight Hatchling Cln_dung_hatchling_turn0000.png
dung_hatchling_turn0001	Knight Hatchling Cln_dung_hatchling_turn0001.png
hatch_charge0000	Knight Hatchling Cln_hatch_charge0000.png
hatch_charge0001	Knight Hatchling Cln_hatch_charge0001.png
hatch_charge0002	Knight Hatchling Cln_hatch_charge0002.png
hatch_charge0003	Knight Hatchling Cln_hatch_charge0003.png
hatch_fly0000	Knight Hatchling Cln_hatch_fly0000.png
hatch_fly0001	Knight Hatchling Cln_hatch_fly0001.png
hatch_fly0002	Knight Hatchling Cln_hatch_fly0002.png
hatch_fly0003	Knight Hatchling Cln_hatch_fly0003.png
hatch_fly0004	Knight Hatchling Cln_hatch_fly0004.png
hatch_fly0005	Knight Hatchling Cln_hatch_fly0005.png
hatch_to_fly0000	Knight Hatchling Cln_hatch_to_fly0000.png
hatch_to_fly0001	Knight Hatchling Cln_hatch_to_fly0001.png
hatch_to_fly0002	Knight Hatchling Cln_hatch_to_fly0002.png
hatch_to_fly0003	Knight Hatchling Cln_hatch_to_fly0003.png
hatch_to_fly0004	Knight Hatchling Cln_hatch_to_fly0004.png
hatch_to_fly0005	Knight Hatchling Cln_hatch_to_fly0005.png
hatch_turn0000	Knight Hatchling Cln_hatch_turn0000.png
hatch_turn0001	Knight Hatchling Cln_hatch_turn0001.png
hatchling_sleep0000	Knight Hatchling Cln_hatchling_sleep0000.png
hatchling_sleep0001	Knight Hatchling Cln_hatchling_sleep0001.png
hatchling_sleep0002	Knight Hatchling Cln_hatchling_sleep0002.png
hatchling_sleep0003	Knight Hatchling Cln_hatchling_sleep0003.png
hatchling_sleep0004	Knight Hatchling Cln_hatchling_sleep0004.png
hatchling_sleep0005	Knight Hatchling Cln_hatchling_sleep0005.png
hatchling_teleport0000	Knight Hatchling Cln_hatchling_teleport0000.png
hatchling_teleport0001	Knight Hatchling Cln_hatchling_teleport0001.png
hatchling_teleport0002	Knight Hatchling Cln_hatchling_teleport0002.png
hatchling_teleport0003	Knight Hatchling Cln_hatchling_teleport0003.png
poo_hatchling_sleep0000	Knight Hatchling Cln_poo_hatchling_sleep0000.png
poo_hatchling_sleep0001	Knight Hatchling Cln_poo_hatchling_sleep0001.png
poo_hatchling_sleep0002	Knight Hatchling Cln_poo_hatchling_sleep0002.png
poo_hatchling_sleep0003	Knight Hatchling Cln_poo_hatchling_sleep0003.png
